,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"adjust_pt1 : 0, adjust_pt2 : 0",0.17081995075591944,325.0,0.3504849475056729,0.00500381144943293,50.0,0.025853025822070136,0.3769718799479635,9.0,0.39603225590038865,0.2436608820243247,31.0,0.31771467950230575,0.02019433972176075,235.0,0.29935138881668877
"adjust_pt1 : 10, adjust_pt2 : 0",0.2136653751341916,277.0,0.3794505541598809,0.008812548192836724,47.0,0.03642519919705846,0.46520064574114767,1.0,0.4677017244816915,0.2483721107470901,31.0,0.3238577522486567,0.0590930887466825,198.0,0.2757677474845184
"adjust_pt1 : 50, adjust_pt2 : 0",0.31075032463394486,208.0,0.46247818267117613,0.08248669348220099,43.0,0.26916710504718216,0.6342241639979828,0.0,0.6342241639979828,0.2844175865311648,24.0,0.34704164228114603,0.14077013153078127,141.0,0.3195862445563683
"adjust_pt1 : 0, adjust_pt2 : 10",0.1276372526453872,395.0,0.33858585011370496,0.0013187860485737808,58.0,0.020441183752893603,0.26882019754842384,46.0,0.35652040384081746,0.22429287075123858,41.0,0.32424947619472533,0.0029362090900552436,250.0,0.3699623453469607
"adjust_pt1 : 10, adjust_pt2 : 10",0.17386075675212642,345.0,0.38141079508944,0.004261773020665993,51.0,0.024020902480117415,0.3976872286137861,21.0,0.4479970587396265,0.23320869952427625,36.0,0.31976038182194577,0.01817151216690528,237.0,0.3052814044040087
"adjust_pt1 : 50, adjust_pt2 : 10",0.29604547526756386,218.0,0.45118469067220074,0.0625595505819357,43.0,0.2041416913726323,0.6154817872602195,0.0,0.6154817872602195,0.25998833952130274,27.0,0.32621178449371,0.13547855479984589,148.0,0.32827495970731885
"adjust_pt1 : 0, adjust_pt2 : 50",0.044857534640973924,521.0,0.25167855718918114,0.0,62.0,,0.06194696998346533,145.0,0.27581150921209563,0.1267337862817252,62.0,0.23740272641506271,0.0,252.0,
"adjust_pt1 : 10, adjust_pt2 : 50",0.05965038163047055,503.0,0.2886896332344911,0.0,62.0,,0.10362420654290293,127.0,0.3229621103920474,0.1386512430841766,62.0,0.25972697648162657,0.0,252.0,
"adjust_pt1 : 50, adjust_pt2 : 50",0.16405548204880843,387.0,0.4210978769997755,0.003530950292178961,57.0,0.043783783623019115,0.3733882622252064,61.0,0.554155595524711,0.18308339702858953,52.0,0.3006184173432396,0.03816888833298991,217.0,0.2748159959975274
